Date,Recovered,Cumulative Recovered,Imported Case,Local Case,Active Case,New Case,Cumulative Case,ICU,Ventilator,Death,Cumulative Death,SMA_new,EMA_0.1,EMA_0.3,SMA_death
2020-03-27,44,259,,,1876,130,2161,54,34,3,26,130.0,130.0,130.0,3.0
2020-03-28,61,320,,,1973,159,2320,73,54,1,27,144.5,145.26,147.06,2.0
2020-03-29,68,388,,,2048,150,2470,73,52,7,34,146.33,147.01,148.4,3.67
2020-03-30,91,479,,,2110,156,2626,94,62,3,37,148.75,149.62,151.4,3.5
2020-03-31,58,537,,,2186,140,2766,94,60,6,43,147.0,147.27,147.29,4.0
2020-04-01,108,645,,,2218,142,2908,102,66,2,45,146.17,146.15,145.49,3.67
2020-04-02,122,767,,,2299,208,3116,105,54,5,50,155.0,158.0,165.93,3.86
2020-04-03,60,827,,,2453,217,3333,108,54,3,53,167.43,168.36,182.19,3.86
2020-04-04,88,915,,,2511,150,3483,99,50,4,57,166.14,165.37,172.12,4.29
2020-04-05,90,1005,,,2596,179,3662,99,48,4,61,170.29,167.46,174.25,3.86
2020-04-06,236,1241,,,2490,131,3793,102,54,1,62,166.71,162.15,161.01,3.57
2020-04-07,80,1321,,,2579,170,3963,92,50,1,63,171.0,163.24,163.75,2.86
2020-04-08,166,1487,,,2567,156,4119,76,45,2,65,173.0,162.27,161.4,2.86
2020-04-09,121,1608,,,2553,109,4228,72,43,2,67,158.86,155.36,145.57,2.43
2020-04-10,222,1830,,,2446,118,4346,69,40,3,70,144.71,150.66,137.26,2.43
2020-04-11,165,1995,,,2462,184,4530,72,38,3,73,149.57,154.75,151.33,2.29
2020-04-12,113,2108,,,2499,153,4683,66,37,3,76,145.86,154.54,151.83,2.14
2020-04-13,168,2276,,,2464,134,4817,66,36,1,77,146.29,152.12,146.47,2.14
2020-04-14,202,2478,,,2427,170,4987,60,33,5,82,146.29,154.19,153.54,2.71
2020-04-15,169,2647,,,2342,85,5072,56,32,1,83,136.14,146.31,132.96,2.57
2020-04-16,119,2766,,,2332,110,5182,56,29,1,84,136.29,142.24,126.07,2.43
2020-04-17,201,2967,,,2198,69,5251,51,26,2,86,129.29,134.11,108.94,2.29
2020-04-18,135,3102,,,2115,54,5305,49,26,2,88,110.71,125.32,92.45,2.14
2020-04-19,95,3197,,,2103,84,5389,46,26,1,89,100.86,120.83,89.92,1.86
2020-04-20,98,3295,,,2041,36,5425,45,28,0,89,86.86,111.69,73.74,1.71
2020-04-21,54,3349,,,2041,57,5482,43,27,3,92,70.71,105.85,68.72,1.43
2020-04-22,103,3452,,,1987,50,5532,43,25,1,93,65.71,99.92,63.1,1.43
2020-04-23,90,3542,,,1966,71,5603,42,21,2,95,60.14,96.86,65.47,1.57
2020-04-24,121,3663,,,1932,88,5691,41,18,1,96,62.86,95.93,72.23,1.43
2020-04-25,99,3762,,,1882,51,5742,36,16,2,98,62.43,91.24,65.86,1.43
2020-04-26,100,3862,,,1820,38,5780,36,15,0,98,55.86,85.71,57.5,1.29
2020-04-27,95,3957,,,1764,40,5820,37,17,1,99,56.43,80.97,52.25,1.43
2020-04-28,75,4032,,,1719,31,5851,36,17,1,100,52.71,75.82,45.88,1.14
2020-04-29,55,4087,,,1758,94,5945,40,18,0,100,59.0,77.69,60.31,1.0
2020-04-30,84,4171,,,1729,57,6002,36,14,2,102,57.0,75.57,59.32,1.0
2020-05-01,39,4210,,,1758,69,6071,37,14,1,103,54.29,74.89,62.22,1.0
2020-05-02,116,4326,,,1747,105,6176,31,12,0,103,62.0,77.97,75.06,0.71
2020-05-03,87,4413,,,1780,122,6298,27,13,2,105,74.0,82.45,89.14,1.0
2020-05-04,71,4484,,,1764,55,6353,28,13,0,105,76.14,79.66,78.9,0.86
2020-05-05,83,4567,,,1710,30,6383,24,8,1,106,76.0,74.62,64.23,0.86
2020-05-06,135,4702,,,1619,45,6428,22,9,1,107,69.0,71.62,58.46,1.0
2020-05-07,74,4776,,,1584,39,6467,19,8,0,107,66.43,68.32,52.62,0.71
2020-05-08,88,4864,,,1564,68,6535,18,7,0,107,66.29,68.28,57.24,0.57
2020-05-09,65,4929,,,1552,54,6589,18,6,1,108,59.0,66.84,56.26,0.71
2020-05-10,96,5025,,,1523,67,6656,18,6,0,108,51.14,66.86,59.49,0.43
2020-05-11,88,5113,,,1504,70,6726,20,7,1,109,53.29,67.17,62.64,0.57
2020-05-12,110,5223,,,1410,16,6742,16,3,0,109,51.29,62.02,48.65,0.43
2020-05-13,58,5281,,,1387,37,6779,16,4,2,111,50.14,59.5,45.15,0.57
2020-05-14,70,5351,,,1356,40,6819,16,4,1,112,50.29,57.54,43.61,0.71
2020-05-15,88,5439,,,1304,36,6855,14,5,0,112,45.71,55.38,41.33,0.71
2020-05-16,73,5512,,,1247,17,6872,13,5,1,113,40.43,51.52,34.03,0.71
2020-05-17,59,5571,,,1210,22,6894,13,7,0,113,34.0,48.56,30.42,0.71
2020-05-18,44,5615,,,1213,47,6941,13,6,0,113,30.71,48.4,35.39,0.57
2020-05-19,31,5646,,,1218,37,6978,11,6,1,114,33.71,47.26,35.88,0.71
2020-05-20,60,5706,,,1189,31,7009,11,7,0,114,32.86,45.63,34.41,0.43
2020-05-21,90,5796,,,1149,50,7059,10,7,0,114,34.29,46.06,39.09,0.29
2020-05-22,63,5859,,,1163,78,7137,9,5,1,115,40.29,49.27,50.76,0.43
2020-05-23,53,5912,,,1158,48,7185,9,5,0,115,44.71,49.14,49.93,0.29
2020-05-24,33,5945,,,1185,60,7245,9,4,0,115,50.14,50.23,52.95,0.29
2020-05-25,34,5979,,,1323,172,7417,8,4,0,115,68.0,62.43,88.67,0.29
2020-05-26,62,6041,,,1448,187,7604,8,5,0,115,89.43,74.9,118.17,0.14
2020-05-27,42,6083,,,1421,15,7619,8,4,0,115,87.14,68.9,87.22,0.14
2020-05-28,86,6169,,,1345,10,7629,8,4,0,115,81.43,63.01,64.05,0.14
2020-05-29,66,6235,,,1382,103,7732,8,2,0,115,85.0,67.01,75.74,0.0
2020-05-30,95,6330,,,1317,30,7762,9,2,0,115,82.43,63.31,62.02,0.0
2020-05-31,23,6353,,,1351,57,7819,9,2,0,115,82.0,62.67,60.51,0.0
2020-06-01,51,6404,,,1338,38,7857,8,2,0,115,62.86,60.2,53.76,0.0
2020-06-02,66,6470,,,1292,20,7877,6,2,0,115,39.0,56.18,43.63,0.0
2020-06-03,61,6531,,,1324,93,7970,6,2,0,115,50.14,59.87,58.44,0.0
2020-06-04,28,6559,,,1573,277,8247,6,2,0,115,88.29,81.59,124.01,0.0
2020-06-05,51,6610,,,1540,19,8266,6,1,1,116,76.29,75.33,92.51,0.14
2020-06-06,25,6635,,,1551,37,8303,5,5,1,117,77.29,71.5,75.85,0.29
2020-06-07,39,6674,,,1531,19,8322,5,5,0,117,71.86,66.24,58.8,0.29
2020-06-08,20,6694,,,1518,7,8329,6,1,0,117,67.43,60.32,43.26,0.29
2020-06-09,281,6975,,,1244,7,8336,6,1,0,117,65.57,54.98,32.38,0.29
2020-06-10,39,7014,,,1206,2,8338,5,5,1,118,52.57,49.68,23.27,0.43
2020-06-11,51,7065,,,1186,31,8369,5,5,0,118,17.43,47.81,25.59,0.43
2020-06-12,103,7168,,,1115,33,8402,4,4,1,119,19.43,46.33,27.81,0.43
2020-06-13,143,7311,,,1014,43,8445,4,4,1,120,20.29,46.0,32.37,0.43
2020-06-14,35,7346,,,986,8,8453,4,4,1,121,18.71,42.2,25.06,0.57
2020-06-15,54,7400,,,973,41,8494,4,4,0,121,23.57,42.08,29.84,0.57
2020-06-16,333,7733,,,651,11,8505,4,4,0,121,24.14,38.97,24.19,0.57
2020-06-17,140,7873,,,521,10,8515,4,4,0,121,25.29,36.07,19.93,0.43
2020-06-18,127,8000,,,408,14,8529,4,4,0,121,22.86,33.86,18.15,0.43
2020-06-19,70,8070,,,344,6,8535,3,3,0,121,19.0,31.08,14.51,0.29
2020-06-20,76,8146,,,289,21,8556,3,3,0,121,15.86,30.07,16.45,0.14
2020-06-21,10,8156,,,295,16,8572,3,3,0,121,17.0,28.66,16.32,0.0
2020-06-22,21,8177,,,289,15,8587,2,2,0,121,13.29,27.3,15.92,0.0
2020-06-23,9,8186,,,283,3,8590,3,3,0,121,12.14,24.87,12.05,0.0
2020-06-24,45,8231,,,244,6,8596,2,2,0,121,11.57,22.98,10.23,0.0
2020-06-25,40,8271,,,208,4,8600,2,2,0,121,10.14,21.08,8.36,0.0
2020-06-26,23,8294,,,191,6,8606,2,2,0,121,10.14,19.57,7.65,0.0
2020-06-27,14,8308,,,187,10,8616,2,2,0,121,8.57,18.62,8.36,0.0
2020-06-28,10,8318,,,195,18,8634,2,2,0,121,8.86,18.55,11.25,0.0
2020-06-29,16,8334,,,182,3,8637,4,1,0,121,7.14,17.0,8.78,0.0
2020-06-30,20,8354,,,164,2,8639,4,1,0,121,7.0,15.5,6.74,0.0
2020-07-01,21,8375,,,144,1,8640,4,2,0,121,6.29,14.05,5.02,0.0
2020-07-02,62,8437,,,85,3,8643,2,0,0,121,6.14,12.94,4.41,0.0
2020-07-03,9,8446,,,81,5,8648,2,0,0,121,6.0,12.15,4.59,0.0
2020-07-04,15,8461,,,76,10,8658,2,0,0,121,6.0,11.93,6.21,0.0
2020-07-05,4,8465,,,77,5,8663,2,0,0,121,4.14,11.24,5.85,0.0
2020-07-06,11,8476,,,71,5,8668,2,0,0,121,4.43,10.62,5.59,0.0
2020-07-07,5,8481,,,72,6,8674,2,0,0,121,5.0,10.16,5.72,0.0
2020-07-08,5,8486,,,70,3,8677,2,1,0,121,5.29,9.44,4.9,0.0
2020-07-09,13,8499,,,63,6,8683,2,1,0,121,5.71,9.1,5.23,0.0
2020-07-10,12,8511,,,64,13,8696,2,2,0,121,6.86,9.49,7.56,0.0
2020-07-11,4,8515,,,67,8,8704,3,2,1,122,6.57,9.34,7.69,0.14
2020-07-12,4,8519,,,77,14,8718,3,2,0,122,7.86,9.8,9.59,0.14
2020-07-13,1,8520,,,83,7,8725,4,3,0,122,8.14,9.52,8.81,0.14
2020-07-14,4,8524,,,83,4,8729,6,2,0,122,7.86,8.97,7.37,0.14
2020-07-15,2,8526,,,86,5,8734,5,1,0,122,8.14,8.57,6.66,0.14
2020-07-16,12,8538,,,77,3,8737,3,1,0,122,7.71,8.02,5.56,0.14
2020-07-17,3,8541,,,92,18,8755,3,3,0,122,8.43,9.01,9.29,0.14
2020-07-18,5,8546,,,96,9,8764,1,1,0,122,8.57,9.01,9.2,0.0
2020-07-19,7,8553,,,103,15,8779,2,1,1,123,8.71,9.61,10.94,0.14
2020-07-20,2,8555,,,122,21,8800,3,1,0,123,10.71,10.75,13.96,0.14
2020-07-21,7,8562,,,130,15,8815,4,1,0,123,12.29,11.18,14.27,0.14
2020-07-22,4,8566,,,142,16,8831,5,1,0,123,13.86,11.66,14.79,0.14
