Date,Recovered,Cumulative Recovered,Imported Case,Local Case,Active Case,New Case,Cumulative Case,ICU,Ventilator,Death,Cumulative Death,URL
27-03-20,44,259,,,,130,2161,54,34,3,26,https://kpkesihatan.com/2020/03/27/kenyataan-akhbar-kpk-27-mac-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
28-03-20,61,320,,,,159,2320,73,54,1,27,https://kpkesihatan.com/2020/03/28/kenyataan-akhbar-kpk-28-mac-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
29-03-20,68,388,,,,150,2470,73,52,7,34,https://kpkesihatan.com/2020/03/29/kenyataan-akhbar-kpk-29-mac-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
30-03-20,91,479,,,,156,2626,94,62,3,37,https://kpkesihatan.com/2020/03/30/kenyataan-akhbar-kpk-30-mac-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
31-03-20,58,537,,,,140,2766,94,60,6,43,https://kpkesihatan.com/2020/03/31/kenyataan-akhbar-kpk-31-mac-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
01-04-20,108,645,,,,142,2908,102,66,2,45,https://kpkesihatan.com/2020/04/01/kenyataan-akhbar-kpk-1-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
02-04-20,122,767,,,,208,3116,105,54,5,50,https://kpkesihatan.com/2020/04/02/kenyataan-akhbar-kpk-2-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
03-04-20,60,827,,,,217,3333,108,54,3,53,https://kpkesihatan.com/2020/04/03/kenyataan-akhbar-kpk-3-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
04-04-20,88,915,,,,150,3483,99,50,4,57,https://kpkesihatan.com/2020/04/04/kenyataan-akhbar-kpk-4-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
05-04-20,90,1005,,,,179,3662,99,48,4,61,https://kpkesihatan.com/2020/04/05/kenyataan-akhbar-kpk-5-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
06-04-20,236,1241,,,,131,3793,102,54,1,62,https://kpkesihatan.com/2020/04/06/kenyataan-akhbar-kpk-6-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
07-04-20,80,1321,,,,170,3963,92,50,1,63,https://kpkesihatan.com/2020/04/07/kenyataan-akhbar-kpk-7-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
08-04-20,166,1487,,,,156,4119,76,45,2,65,https://kpkesihatan.com/2020/04/08/kenyataan-akhbar-kpk-8-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
09-04-20,121,1608,,,,109,4228,72,43,2,67,https://kpkesihatan.com/2020/04/09/kenyataan-akhbar-kpk-9-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
10-04-20,222,1830,,,,118,4346,69,40,3,70,https://kpkesihatan.com/2020/04/10/kenyataan-akhbar-kpk-10-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
11-04-20,165,1995,,,,184,4530,72,38,3,73,https://kpkesihatan.com/2020/04/11/kenyataan-akhbar-kpk-11-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
12-04-20,113,2108,,,,153,4683,66,37,3,76,https://kpkesihatan.com/2020/04/12/kenyataan-akhbar-kpk-12-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
13-04-20,168,2276,,,,134,4817,66,36,1,77,https://kpkesihatan.com/2020/04/13/kenyataan-akhbar-kpk-13-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
14-04-20,202,2478,,,,170,4987,60,33,5,82,https://kpkesihatan.com/2020/04/14/kenyataan-akhbar-kpk-14-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
15-04-20,169,2647,,,,85,5072,56,32,1,83,https://kpkesihatan.com/2020/04/15/kenyataan-akhbar-kpk-15-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
16-04-20,119,2766,,,,110,5182,56,29,1,84,https://kpkesihatan.com/2020/04/16/kenyataan-akhbar-16-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
17-04-20,201,2967,,,,69,5251,51,26,2,86,https://kpkesihatan.com/2020/04/17/kenyataan-akhbar-kpk-17-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
18-04-20,135,3102,,,,54,5305,49,26,2,88,https://kpkesihatan.com/2020/04/18/kenyataan-akhbar-kpk-18-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
19-04-20,95,3197,,,,84,5389,46,26,1,89,https://kpkesihatan.com/2020/04/19/kenyataan-akhbar-kpk-19-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
20-04-20,98,3295,,,,36,5425,45,28,0,89,https://kpkesihatan.com/2020/04/20/kenyataan-akhbar-kpk-20-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
21-04-20,54,3349,,,,57,5482,43,27,3,92,https://kpkesihatan.com/2020/04/21/kenyataan-akhbar-kpk-21-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
