Date,JOHOR,JUMLAH KESELURUHAN,KEDAH,KELANTAN,MELAKA,NEGERI SEMBILAN,PAHANG,PERAK,PERLIS,PULAU PINANG,SABAH,SARAWAK,SELANGOR,TERENGGANU,WP KUALA LUMPUR,WP LABUAN,WP PUTRAJAYA
2020-03-27,259,2161,73,98,33,138,70,159,10,80,182,110,546,41,337,5,20
2020-03-28,285,2320,74,108,42,153,84,165,10,86,197,118,579,45,344,10,20
2020-03-29,309,2470,75,123,43,162,96,176,10,87,197,129,612,47,372,10,22
2020-03-30,333,2626,77,127,50,172,99,184,11,88,201,135,672,47,396,10,24
2020-03-31,349,2766,77,131,52,181,102,189,12,94,206,156,704,47,430,10,26
2020-04-01,368,2908,79,134,63,189,111,194,12,96,209,188,726,48,455,10,26
2020-04-02,395,3116,80,137,70,207,114,200,12,98,210,211,800,50,488,10,34
2020-04-03,416,3333,81,137,73,211,127,205,12,98,215,239,863,68,543,10,35
2020-04-04,422,3483,81,139,75,220,151,207,12,99,225,246,890,74,595,11,36
2020-04-05,438,3662,82,141,89,231,158,213,13,101,238,261,943,84,622,11,37
2020-04-06,468,3793,85,142,99,239,161,219,13,101,240,273,970,90,640,12,41
2020-04-07,478,3963,90,147,103,261,166,233,17,102,241,288,1020,90,671,13,43
2020-04-08,496,4119,91,147,116,270,169,237,17,108,248,306,1078,93,685,13,45
2020-04-09,503,4228,93,148,119,281,183,241,17,108,248,312,1118,98,699,13,47
2020-04-10,523,4346,93,149,133,292,187,242,17,109,250,327,1148,101,713,13,49
2020-04-11,544,4530,93,151,141,309,214,243,17,114,260,334,1183,102,759,15,51
2020-04-12,558,4683,93,152,144,318,225,244,17,116,266,342,1236,102,803,15,52
2020-04-13,579,4817,93,154,144,360,225,247,17,116,280,348,1249,106,830,15,54
2020-04-14,587,4987,93,154,147,362,236,250,18,119,285,363,1299,106,899,15,54
2020-04-15,601,5072,94,154,147,363,253,250,18,119,285,371,1316,106,926,15,54
2020-04-16,614,5182,94,155,147,389,261,251,18,119,288,387,1329,108,952,15,55
