Date,PERLIS,KEDAH,PULAU PINANG,PERAK,SELANGOR,NEGERI SEMBILAN,MELAKA,JOHOR,PAHANG,TERENGGANU,KELANTAN,SABAH,SARAWAK,WP KUALA LUMPUR,WP PUTRAJAYA,WP LABUAN,JUMLAH KESELURUHAN,URL
2020-03-27,10,73,80,159,546,138,33,259,70,41,98,182,110,337,20,5,2161,https://kpkesihatan.com/2020/03/27/kenyataan-akhbar-kpk-27-mac-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-03-28,10,74,86,165,579,153,42,285,84,45,108,197,118,344,20,10,2320,https://kpkesihatan.com/2020/03/28/kenyataan-akhbar-kpk-28-mac-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-03-29,10,75,87,176,612,162,43,309,96,47,123,197,129,372,22,10,2470,https://kpkesihatan.com/2020/03/29/kenyataan-akhbar-kpk-29-mac-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-03-30,11,77,88,184,672,172,50,333,99,47,127,201,135,396,24,10,2626,https://kpkesihatan.com/2020/03/30/kenyataan-akhbar-kpk-30-mac-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-03-31,12,77,94,189,704,181,52,349,102,47,131,206,156,430,26,10,2766,https://kpkesihatan.com/2020/03/31/kenyataan-akhbar-kpk-31-mac-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-01,12,79,96,194,726,189,63,368,111,48,134,209,188,455,26,10,2908,https://kpkesihatan.com/2020/04/01/kenyataan-akhbar-kpk-1-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-02,12,80,98,200,800,207,70,395,114,50,137,210,211,488,34,10,3116,https://kpkesihatan.com/2020/04/02/kenyataan-akhbar-kpk-2-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-03,12,81,98,205,863,211,73,416,127,68,137,215,239,543,35,10,3333,https://kpkesihatan.com/2020/04/03/kenyataan-akhbar-kpk-3-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-04,12,81,99,207,890,220,75,422,151,74,139,225,246,595,36,11,3483,https://kpkesihatan.com/2020/04/04/kenyataan-akhbar-kpk-4-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-05,13,82,101,213,943,231,89,438,158,84,141,238,261,622,37,11,3662,https://kpkesihatan.com/2020/04/05/kenyataan-akhbar-kpk-5-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-06,13,85,101,219,970,239,99,468,161,90,142,240,273,640,41,12,3793,https://kpkesihatan.com/2020/04/06/kenyataan-akhbar-kpk-6-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-07,17,90,102,233,1020,261,103,478,166,90,147,241,288,671,43,13,3963,https://kpkesihatan.com/2020/04/07/kenyataan-akhbar-kpk-7-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-08,17,91,108,237,1078,270,116,496,169,93,147,248,306,685,45,13,4119,https://kpkesihatan.com/2020/04/08/kenyataan-akhbar-kpk-8-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-09,17,93,108,241,1118,281,119,503,183,98,148,248,312,699,47,13,4228,https://kpkesihatan.com/2020/04/09/kenyataan-akhbar-kpk-9-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-10,17,93,109,242,1148,292,133,523,187,101,149,250,327,713,49,13,4346,https://kpkesihatan.com/2020/04/10/kenyataan-akhbar-kpk-10-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-11,17,93,114,243,1183,309,141,544,214,102,151,260,334,759,51,15,4530,https://kpkesihatan.com/2020/04/11/kenyataan-akhbar-kpk-11-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-12,17,93,116,244,1236,318,144,558,225,102,152,266,342,803,52,15,4683,https://kpkesihatan.com/2020/04/12/kenyataan-akhbar-kpk-12-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-13,17,93,116,247,1249,360,144,579,225,106,154,280,348,830,54,15,4817,https://kpkesihatan.com/2020/04/13/kenyataan-akhbar-kpk-13-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-14,18,93,119,250,1299,362,147,587,236,106,154,285,363,899,54,15,4987,https://kpkesihatan.com/2020/04/14/kenyataan-akhbar-kpk-14-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-15,18,94,119,250,1316,363,147,601,253,106,154,285,371,926,54,15,5072,https://kpkesihatan.com/2020/04/15/kenyataan-akhbar-kpk-15-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-16,18,94,119,251,1329,389,147,614,261,108,155,288,387,952,55,15,5182,https://kpkesihatan.com/2020/04/16/kenyataan-akhbar-16-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-17,18,94,119,252,1338,402,148,623,262,108,155,293,397,971,55,16,5251,https://kpkesihatan.com/2020/04/17/kenyataan-akhbar-kpk-17-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-18,18,94,119,252,1340,405,148,639,264,109,155,303,403,985,55,16,5305,https://kpkesihatan.com/2020/04/18/kenyataan-akhbar-kpk-18-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-19,18,94,119,252,1343,405,185,642,269,109,155,306,408,1004,64,16,5389,https://kpkesihatan.com/2020/04/19/kenyataan-akhbar-kpk-19-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-20,18,94,119,252,1345,408,187,644,271,109,155,308,414,1008,77,16,5425,https://kpkesihatan.com/2020/04/20/kenyataan-akhbar-kpk-20-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
2020-04-21,18,94,119,252,1356,409,188,645,279,109,155,308,436,1021,77,16,5482,https://kpkesihatan.com/2020/04/21/kenyataan-akhbar-kpk-21-april-2020-situasi-semasa-jangkitan-penyakit-coronavirus-2019-covid-19-di-malaysia/
