Date,JOHOR,KEDAH,KELANTAN,MELAKA,NEGERI SEMBILAN,PAHANG,PERAK,PERLIS,PULAU PINANG,SABAH,SARAWAK,SELANGOR,TERENGGANU,WP KUALA LUMPUR,WP LABUAN,WP PUTRAJAYA
2020-03-27,20,1,4,0,6,4,8,0,6,10,15,36,2,16,0,2
2020-03-28,26,1,10,9,15,14,6,0,6,15,8,33,4,7,5,0
2020-03-29,24,1,15,1,9,12,11,0,1,0,11,33,2,28,0,2
2020-03-30,24,2,4,7,10,3,8,1,1,4,6,60,0,24,0,2
2020-03-31,16,0,4,2,9,3,5,1,6,5,21,32,0,34,0,2
2020-04-01,19,2,3,11,8,9,5,0,2,3,32,22,1,25,0,0
2020-04-02,27,1,3,7,18,3,6,0,2,1,23,74,2,34,0,7
2020-04-03,21,1,0,3,4,13,5,0,0,5,28,63,18,55,0,1
2020-04-04,6,0,2,2,9,24,2,0,1,10,7,27,6,52,1,1
2020-04-05,16,1,2,14,11,7,6,1,2,13,15,53,10,27,0,1
2020-04-06,30,3,1,10,8,3,6,0,0,2,12,27,6,18,1,4
2020-04-07,10,5,5,4,22,5,14,4,1,1,15,50,0,31,1,2
2020-04-08,18,1,0,13,9,3,4,0,6,7,18,58,3,14,0,2
2020-04-09,7,2,1,3,11,14,4,0,0,0,6,40,5,14,0,2
2020-04-10,20,0,1,14,11,4,1,0,1,2,15,30,3,14,0,2
2020-04-11,21,0,2,8,17,27,1,0,5,10,7,35,1,46,2,2
2020-04-12,14,0,1,3,9,11,1,0,2,6,8,53,0,44,0,1
2020-04-13,21,0,2,0,42,0,3,0,0,14,6,13,4,27,0,2
2020-04-14,8,0,0,3,2,11,3,1,3,5,15,50,0,69,0,0
2020-04-15,14,1,0,0,1,17,0,0,0,0,8,17,0,27,0,0
2020-04-16,13,0,1,0,26,8,1,0,0,3,16,13,2,26,0,1
2020-04-17,9,0,0,1,13,1,1,0,0,5,10,9,0,19,1,0
2020-04-18,16,0,0,0,3,2,0,0,0,10,6,2,1,14,0,0
2020-04-19,3,0,0,37,0,5,0,0,0,3,5,3,0,19,0,9
2020-04-20,2,0,0,2,3,2,0,0,0,2,6,2,0,4,0,13
2020-04-21,1,0,0,1,1,8,0,0,0,0,22,11,0,13,0,0
2020-04-22,3,1,0,1,2,6,0,0,0,0,19,1,0,16,0,1
2020-04-23,3,0,0,0,20,1,0,0,0,1,4,12,1,29,0,0
2020-04-24,4,0,0,3,2,1,0,0,0,2,9,18,0,49,0,0
2020-04-25,0,0,0,0,0,1,0,0,0,0,10,1,0,39,0,0
2020-04-26,4,0,0,1,1,0,0,0,2,0,7,6,0,16,0,1
2020-04-27,0,0,0,0,1,0,1,0,0,1,3,4,0,30,0,0
2020-04-28,1,0,0,0,1,0,0,0,0,1,8,5,0,14,0,1
2020-04-29,0,0,0,0,72,5,0,0,0,2,6,1,0,8,0,0
2020-04-30,3,0,0,5,5,1,0,0,0,0,5,27,0,10,0,1
2020-05-01,3,0,0,1,0,3,0,0,0,0,2,24,0,32,0,4
2020-05-02,1,0,0,2,8,8,0,0,0,0,9,63,0,14,0,0
2020-05-03,0,0,0,3,71,0,0,0,0,1,5,11,0,30,0,1
2020-05-04,0,0,0,3,6,0,0,0,0,0,0,21,0,25,0,0
2020-05-05,0,0,0,0,0,0,0,0,0,0,2,5,0,23,0,0
2020-05-06,0,0,0,1,2,0,0,0,0,0,11,9,0,22,0,0
2020-05-07,0,0,0,1,0,0,0,0,0,1,1,16,0,20,0,0
2020-05-08,0,0,0,0,53,1,0,0,0,0,1,6,0,6,0,1
2020-05-09,0,0,0,1,28,0,0,0,0,0,4,10,0,10,0,1
2020-05-10,0,0,0,0,45,2,2,0,0,0,1,8,0,9,0,0
2020-05-11,0,0,0,1,16,4,0,0,0,10,0,3,0,35,0,1
2020-05-12,0,0,0,0,0,0,0,0,0,1,0,3,0,12,0,0
2020-05-13,0,0,0,2,22,3,0,0,0,2,1,2,0,5,0,0
2020-05-14,1,0,0,1,11,8,0,0,0,0,0,1,0,18,0,0
2020-05-15,0,0,0,1,1,5,0,0,0,0,0,14,0,15,0,0
2020-05-16,0,0,0,0,0,7,0,0,0,1,0,1,0,7,0,1
2020-05-17,0,0,0,0,0,1,0,0,0,0,0,8,0,13,0,0
2020-05-18,0,0,0,0,0,0,0,0,0,0,0,8,0,38,0,1
2020-05-19,1,0,0,0,0,2,0,0,0,6,0,6,0,22,0,0
2020-05-20,0,1,1,0,0,0,0,0,0,1,0,15,1,10,0,2
2020-05-21,0,0,0,0,2,1,0,0,0,0,0,8,0,39,0,0
2020-05-22,0,0,0,1,13,2,0,0,0,2,1,20,0,39,0,0
2020-05-23,1,0,0,0,1,3,0,0,0,1,0,37,0,5,0,0
2020-05-24,1,0,0,0,0,0,0,0,0,2,0,46,0,11,0,0
2020-05-25,0,0,0,0,0,0,0,0,0,0,4,53,0,115,0,0
2020-05-26,0,0,0,0,1,0,0,0,0,0,0,9,0,177,0,0
2020-05-27,0,0,0,0,0,0,0,0,0,1,3,5,0,6,0,0
2020-05-28,0,0,0,0,0,1,0,0,0,0,0,2,0,7,0,0
2020-05-29,3,0,0,0,59,1,0,0,0,2,0,28,0,10,0,0
2020-05-30,1,0,0,2,4,0,1,0,0,0,0,5,0,13,0,4
2020-05-31,0,0,0,1,2,15,0,0,0,0,0,31,0,8,0,0
2020-06-01,0,0,0,13,2,0,0,0,0,1,0,11,0,11,0,0
2020-06-02,1,0,0,1,6,0,0,0,0,1,0,6,0,5,0,0
2020-06-03,0,0,0,0,36,0,0,0,0,0,0,2,0,55,0,0
2020-06-04,0,0,0,0,3,1,0,0,0,0,0,2,0,271,0,0
2020-06-05,0,0,0,1,0,1,0,0,0,3,1,9,0,4,0,0
2020-06-06,0,0,0,0,5,0,0,0,0,0,2,14,0,15,1,0
2020-06-07,0,0,0,0,1,0,0,0,0,2,0,12,0,4,0,0
2020-06-08,0,0,0,1,0,0,0,0,0,2,0,3,0,1,0,0
2020-06-09,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0
2020-06-10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-06-11,0,0,0,11,16,0,0,0,0,0,0,3,0,1,0,0
2020-06-12,1,0,0,4,4,0,0,0,0,1,0,13,0,10,0,0
2020-06-13,2,0,0,2,26,2,1,0,0,2,0,7,0,1,0,0
2020-06-14,0,0,0,1,0,0,0,0,0,0,1,2,0,4,0,0
2020-06-15,3,0,0,2,32,0,0,0,0,1,0,2,0,1,0,0
2020-06-16,1,0,0,0,4,0,0,0,0,0,3,1,0,2,0,0
2020-06-17,0,0,0,0,1,0,0,0,0,2,1,5,0,1,0,0
2020-06-18,2,0,0,0,0,0,1,0,0,1,4,2,0,4,0,0
2020-06-19,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0
2020-06-20,0,0,0,0,1,0,0,0,0,1,0,12,0,7,0,0
2020-06-21,1,0,0,1,6,0,0,0,0,1,3,4,0,0,0,0
2020-06-22,1,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0
2020-06-23,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
2020-06-24,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
2020-06-25,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
2020-06-26,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0
2020-06-27,0,0,0,0,1,0,0,0,0,2,0,3,0,4,0,0
2020-06-28,0,0,0,0,9,0,0,0,0,2,1,5,0,1,0,0
2020-06-29,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
2020-06-30,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2020-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-07-02,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2020-07-03,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0
2020-07-04,0,0,0,0,1,0,0,0,0,1,0,7,0,1,0,0
2020-07-05,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0
2020-07-06,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0
2020-07-07,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0
2020-07-08,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
2020-07-09,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2020-07-10,1,1,0,0,0,0,0,0,0,0,2,6,0,3,0,0
2020-07-11,2,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0
2020-07-12,0,0,0,1,0,0,0,0,0,1,2,9,0,0,0,1
2020-07-13,0,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0
2020-07-14,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2020-07-15,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0
2020-07-16,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2020-07-17,0,0,0,0,0,0,0,0,0,1,10,4,2,1,0,0
2020-07-18,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0,0
2020-07-19,1,0,0,0,0,0,2,0,0,1,6,4,0,1,0,0
2020-07-20,14,1,0,0,1,0,0,0,0,0,1,4,0,0,0,0
2020-07-21,0,0,0,0,0,0,0,0,0,1,11,2,0,1,0,0
2020-07-22,1,0,0,0,0,0,1,0,0,0,9,3,0,2,0,0
2020-07-23,1,0,1,0,0,1,0,0,0,1,4,0,0,1,0,0
2020-07-24,2,0,0,0,0,3,1,0,0,0,9,3,0,3,0,0
2020-07-25,10,0,0,0,0,0,0,0,0,0,8,3,0,1,1,0
2020-07-26,7,0,1,0,0,1,0,0,0,1,1,0,0,2,0,0
2020-07-27,0,0,0,0,0,0,0,0,0,4,0,1,0,2,0,0
2020-07-28,0,6,0,0,0,0,0,0,0,3,25,0,0,4,1,0
2020-07-29,1,0,0,0,0,0,0,1,0,1,2,2,0,6,0,0
2020-07-30,1,1,0,0,0,0,0,0,0,4,0,1,0,1,0,0
2020-07-31,3,2,0,0,1,0,0,0,0,1,1,1,0,3,0,0
2020-08-01,0,1,0,0,0,0,2,0,0,0,0,6,0,0,0,0
2020-08-02,0,11,0,0,0,0,0,0,0,2,0,1,0,0,0,0
2020-08-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-08-04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-08-05,1,3,0,0,0,0,0,0,0,2,0,0,0,15,0,0
2020-08-06,0,6,0,0,2,0,0,0,0,4,0,0,0,2,1,0
2020-08-07,1,1,0,0,0,0,2,10,1,4,1,2,0,3,0,0
2020-08-08,0,0,0,0,1,0,0,0,0,0,1,1,0,3,1,0
2020-08-09,0,0,0,0,0,0,0,0,3,0,1,1,0,7,0,1
2020-08-10,2,0,0,1,0,0,3,0,0,0,0,4,0,1,0,0
2020-08-11,1,0,0,0,0,0,0,0,0,1,0,1,0,6,0,0
2020-08-12,2,2,0,0,0,0,0,0,0,4,0,0,0,3,0,0
2020-08-13,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,0
2020-08-14,0,12,0,0,0,0,0,0,1,0,1,2,0,4,0,0
2020-08-15,1,14,0,0,2,0,0,1,2,0,0,0,0,6,0,0
2020-08-16,0,5,0,0,0,0,0,0,1,1,0,5,0,13,0,0
2020-08-17,0,6,0,0,0,0,0,0,3,0,0,1,0,2,0,0
2020-08-18,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2020-08-19,1,7,0,0,0,0,0,0,4,0,0,0,0,3,1,0
2020-08-20,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
2020-08-21,0,3,0,0,0,0,0,0,0,0,1,2,0,3,0,0
2020-08-22,0,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2020-08-23,0,2,0,0,0,0,0,0,0,0,3,2,0,3,0,0
2020-08-24,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0
2020-08-25,0,7,0,0,0,0,0,1,0,0,0,3,0,0,0,0
2020-08-26,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-08-27,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0
2020-08-28,0,1,0,0,0,0,0,0,0,0,1,3,0,5,0,0
2020-08-29,0,0,0,0,0,0,0,0,0,0,1,2,0,8,0,0
2020-08-30,0,1,0,0,0,0,0,0,0,0,1,1,0,14,0,0
2020-08-31,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2020-09-01,0,2,0,0,0,0,0,0,0,9,0,3,0,0,0,0
2020-09-02,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0
2020-09-03,1,4,0,0,2,0,0,0,0,6,0,0,0,1,0,0
2020-09-04,0,1,0,0,1,0,0,0,0,0,0,2,0,7,0,0
2020-09-05,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0
2020-09-06,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0
2020-09-07,0,4,0,0,0,0,0,0,1,51,0,2,0,4,0,0
2020-09-08,0,22,0,0,1,0,0,1,0,62,0,9,0,5,0,0
2020-09-09,0,16,0,0,1,0,0,0,0,4,1,1,0,1,0,0
2020-09-10,0,4,0,0,0,0,0,0,0,40,0,1,0,0,0,0
2020-09-11,0,14,0,0,0,0,0,0,0,167,0,1,0,0,0,0
2020-09-12,0,5,0,0,0,0,0,0,0,49,0,2,0,2,0,0
2020-09-13,0,14,0,0,0,0,0,0,0,31,0,1,0,1,0,0
2020-09-14,0,1,0,0,4,0,0,0,0,25,0,0,0,1,0,0
2020-09-15,0,0,0,0,0,0,0,0,0,13,0,5,0,5,0,0
2020-09-16,0,1,0,0,0,0,0,0,1,60,0,0,0,0,0,0
2020-09-17,0,7,0,0,0,0,0,0,2,8,1,3,0,0,0,0
2020-09-18,0,0,0,0,1,0,0,0,0,91,0,3,0,0,0,0
2020-09-19,0,9,0,0,0,0,0,0,0,8,0,1,0,2,0,0
2020-09-20,0,3,0,0,0,0,0,0,1,36,0,4,0,6,2,0
2020-09-21,0,1,0,0,0,0,0,0,0,49,0,4,0,3,0,0
2020-09-22,0,10,0,0,0,0,0,0,0,60,2,1,0,9,0,0
2020-09-23,0,5,1,0,0,0,0,0,0,134,0,2,0,5,0,0
2020-09-24,1,4,0,0,0,0,0,0,0,63,0,3,0,0,0,0
2020-09-25,1,8,0,0,0,1,0,0,0,97,0,2,0,2,0,0
2020-09-26,1,0,0,1,3,1,0,0,0,64,1,2,2,6,1,0
2020-09-27,2,0,0,1,0,4,0,0,0,124,2,11,0,6,0,0
2020-09-28,0,1,0,1,1,0,0,0,0,98,0,11,1,1,1,0
2020-09-29,2,1,1,1,0,0,1,1,1,73,3,15,0,1,0,1
2020-09-30,8,13,2,0,1,2,1,2,1,35,4,10,3,6,1,0
2020-10-01,5,98,0,1,0,1,0,2,1,118,0,13,2,14,0,5
2020-10-02,1,129,2,0,2,1,3,0,0,113,0,31,3,1,1,0
2020-10-03,4,102,2,0,1,0,0,0,3,155,3,32,9,4,0,2
2020-10-04,8,113,1,0,2,0,2,0,1,126,1,31,0,3,5,0
2020-10-05,2,241,1,1,1,1,2,0,0,130,1,34,5,7,4,2
2020-10-06,6,397,0,0,7,0,8,0,3,219,3,39,1,6,1,1
2020-10-07,6,153,1,0,1,2,4,0,7,282,3,20,4,4,0,2
2020-10-08,5,16,0,1,2,1,5,0,1,271,8,36,5,12,10,2
2020-10-09,5,10,0,0,4,0,1,0,8,274,10,24,5,10,1,2
2020-10-10,2,27,0,1,0,0,2,0,3,277,9,44,0,6,2,1
2020-10-11,3,16,0,3,0,0,1,0,1,488,0,26,3,15,5,0
2020-10-12,2,10,0,1,12,0,4,0,141,291,1,69,0,28,2,2
2020-10-13,10,60,0,0,2,1,16,0,23,443,0,76,0,10,19,0
2020-10-14,3,113,0,2,1,0,3,0,17,429,3,68,0,12,8,1
2020-10-15,0,31,2,2,11,0,52,0,16,304,4,150,0,10,6,1
2020-10-16,5,7,0,3,1,1,9,0,33,489,0,50,0,10,19,2
2020-10-17,2,38,0,1,1,0,4,0,189,451,4,159,3,15,0,2
2020-10-18,1,9,0,1,3,0,10,0,45,702,5,77,2,7,9,0
2020-10-19,2,3,0,16,4,1,18,0,26,643,0,107,1,7,34,3
2020-10-20,1,17,1,0,6,0,9,0,8,673,1,132,0,7,6,1
2020-10-21,0,7,1,3,9,1,7,0,12,535,0,116,0,26,9,6
2020-10-22,1,3,3,3,38,2,14,0,10,578,1,137,1,23,29,4
2020-10-23,4,1,0,0,37,1,4,0,39,528,2,62,2,11,19,0
2020-10-24,7,76,0,3,96,0,10,0,23,889,8,76,0,19,21,0
2020-10-25,15,1,1,0,22,0,6,0,97,533,16,88,7,10,26,1
2020-10-26,4,3,0,2,25,0,8,0,61,927,7,177,3,17,6,0
